name,molecularComplexNumber,chain,chainAtoms,chainTD,plane,planeAtoms,planeTD,framework,frameworkAtoms,frameworkTD,dimensionType_str,dimensionType,dimensionNumber
JBW/PPT 1,1,[[[1; 0; 0]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
JNT/NT,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
JOZ/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[1561],3D,[1; 1; 1],3
JRY/NT,0,[[[1; 0; 0]]; [[0; 1; 0]]],[['ZA2'; 'ZA3']; ['ZA4'; 'ZA5'; 'ZA6']],[21; 21],[],[],[],[],[],[],1D,[1; 1; 0],2
JSN/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA2']],[221],[],[],[],2D,[0; 1; 1],2
JSR/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[1561],3D,[1; 1; 1],3
JST/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[1419],3D,[1; 1; 1],3
JSW/NT,0,[[[0; 1; 0]]],[['ZA2'; 'ZA4']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
JSY/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[1748],3D,[1; 1; 1],3
JZO/NT,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA5'; 'ZA6'; 'ZA8'; 'ZA10'; 'ZA12'; 'ZA16'; 'ZA17'; 'ZA18']],[218],3D,[1; 1; 1],3
JZT/NT,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA4'; 'ZA5'; 'ZA7'; 'ZA8']],[141],3D,[1; 1; 1],3
KFI/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[1561],3D,[1; 1; 1],3
LAU/PPT 1,0,[[[0; 0; 1]]; [[0; 0; 1]]],[['ZA1'; 'ZA4'; 'ZA5']; ['ZA2'; 'ZA3']],[21; 21],[],[],[],[],[],[],1D,[0; 0; 1],1
LEV/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
LIO/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
LIT/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3']],[460],3D,[1; 1; 1],3
LOS/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
LOV/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3'; 'ZA4'; 'ZA5']],[767],3D,[1; 1; 1],3
LTA/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA3']],[1561],3D,[1; 1; 1],3
LTF/PPT 1,0,[[[0; 0; 1]]; [[0; 0; 1]]],[['ZA1']; ['ZA4']],[21; 21],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5'; 'ZA6']],[595],1D3D,[1; 1; 1],3
LTJ/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4']],[355],3D,[1; 1; 1],3
LTL/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3'; 'ZA5']],[2999],3D,[1; 1; 1],3
LTN/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MAR/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MAZ/PPT 1,0,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3']],[436],1D3D,[1; 1; 1],3
MEI/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[2331],3D,[1; 1; 1],3
MEL/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3'; 'ZA4'; 'ZA8'; 'ZA9']],[374],3D,[1; 1; 1],3
MEP/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MER/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3']],[1519],3D,[1; 1; 1],3
MFI/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA6'; 'ZA7'; 'ZA8'; 'ZA10']],[154],3D,[1; 1; 1],3
MFS/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MON/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[608],3D,[1; 1; 1],3
MOR/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA1'; 'ZA2'; 'ZA3']],[147],[],[],[],2D,[0; 1; 1],2
MOZ/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5'; 'ZA6'; 'ZA7'; 'ZA8']],[2287],3D,[1; 1; 1],3
MRT/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MSE/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA4'; 'ZA5'; 'ZA7']],[860],3D,[1; 1; 1],3
MSO/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MTF/PPT 1,1,[[[0; 0; 1]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
MTN/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
MTT/PPT 1,0,[[[1; 0; 0]]],[['ZA2'; 'ZA5']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
MTW/PPT 1,1,[[[0; 1; 0]]],[['ZA4'; 'ZA5']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
MVY/NT,0,[[[1; 0; 0]]],[['ZA3'; 'ZA4']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
MWF/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA6'; 'ZA7'; 'ZA8'; 'ZA9'; 'ZA10'; 'ZA11'; 'ZA12'; 'ZA13'; 'ZA14'; 'ZA15']],[1438],3D,[1; 1; 1],3
MWW/PPT 1,2,[],[],[],[[[0; 0; 1]]; [[0; 0; 1]]],[['ZA4'; 'ZA9']; ['ZA6'; 'ZA7']],[104; 307],[],[],[],2D,[1; 1; 0],2
NAB/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[744],3D,[1; 1; 1],3
NAT/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[351],3D,[1; 1; 1],3
NES/PPT 1,1,[],[],[],[[[0; 0; 1]]],[['ZA3']],[221],[],[],[],2D,[1; 1; 0],2
NON/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
NPO/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
NPT/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3']],[3936],3D,[1; 1; 1],3
NSI/PPT 1,0,[[[0; 1; 0]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
OBW/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3']],[3577],3D,[1; 1; 1],3
OFF/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3'; 'ZA5']],[887],3D,[1; 1; 1],3
OKO/NT,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
OSI/PPT 1,0,[[[0; 0; 1]]; [[0; 0; 1]]],[['ZA1'; 'ZA2'; 'ZA4']; ['ZA3']],[82; 21],[],[],[],[],[],[],1D,[0; 0; 1],1
OSO/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[2079],3D,[1; 1; 1],3
OWE/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA4']],[1212],3D,[1; 1; 1],3
PAR/NT,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[635],3D,[1; 1; 1],3
