filename,beforeAtomNumber,afterAtomNumber,Deleted
NPT-PPT 1.cif,9,9,0
NSI-PPT 1.cif,10,10,0
OBW-PPT 1.cif,17,17,0
OFF-PPT 1.cif,11,10,1
OKO-NT.cif,36,34,1
OSI-PPT 1.cif,9,9,0
OSO-PPT 1.cif,5,5,0
OWE-PPT 1.cif,13,12,1
PAR-NT.cif,15,14,1
PAU-PPT 1.cif,36,35,1
PCR-NT.cif,32,30,1
PHI-PPT 1.cif,10,10,0
PON-NT.cif,21,21,0
POR-PPT 1.cif,19,19,0
POS-PPT 1.cif,21,21,0
PSI-PPT 1.cif,36,36,0
PTF-PPT 1.cif,36,36,0
PTT-PPT 1.cif,10,10,0
PTY-PPT 1.cif,17,17,0
PUN-PPT 1.cif,15,15,0
PWN-PPT 1.cif,16,15,1
PWO-PPT 1.cif,17,17,0
PWW-PPT 1.cif,17,17,0
RFE-PPT 1.cif,15,15,0
RHO-PPT 1.cif,5,4,1
RRO-PPT 1.cif,17,17,0
RSN-PPT 1.cif,21,20,1
RTE-PPT 1.cif,12,12,0
RTH-PPT 1.cif,15,15,0
RUT-PPT 1.cif,16,16,0
RWR-PPT 1.cif,7,7,0
RWY-PPT 1.cif,5,5,0
SAF-PPT 1.cif,17,17,0
SAO-PPT 1.cif,17,17,0
SAS-PPT 1.cif,7,7,0
SAT-PPT 1.cif,10,10,0
SAV-PPT 1.cif,14,14,0
SBE-PPT 1.cif,22,20,1
SBN-PPT 1.cif,6,6,0
SBS-PPT 1.cif,21,20,1
SBT-PPT 1.cif,20,19,1
SEW-PPT 1.cif,36,36,0
SFE-PPT 1.cif,19,19,0
SFF-PPT 1.cif,26,26,0
SFG-PPT 1.cif,43,42,1
SFH-PPT 1.cif,23,23,0
SFN-PPT 1.cif,22,22,0
SFO-PPT 1.cif,16,15,1
SFS-PPT 1.cif,50,50,0
SFW-PPT 1.cif,15,15,0
SGT-PPT 1.cif,11,11,0
SIV-PPT 1.cif,18,18,0
SOD-PPT 1.cif,2,2,0
SOF-PPT 1.cif,18,17,1
SOR-PPT 1.cif,19,17,1
SOS-PPT 1.cif,14,14,0
SOV-PPT 1.cif,42,36,1
SSF-PPT 1.cif,15,14,1
SSO-NT.cif,64,64,0
SSY-PPT 1.cif,21,21,0
SSZ-31_E-PPT 1.cif,27,27,0
SSZ-31_F-PPT 1.cif,27,27,0
SSZ-31_G-PPT 1.cif,27,27,0
SSZ-31_H-PPT 1.cif,27,27,0
SSZ-57_idealized-PPT 1.cif,394,379,1
SSZ-70_A-PPT 1.cif,40,39,1
SSZ-70_B-PPT 1.cif,38,37,1
STF-PPT 1.cif,16,16,0
STI-PPT 1.cif,13,12,1
STT-PPT 1.cif,49,49,0
STW-PPT 1.cif,18,18,0
SVR-PPT 1.cif,74,74,0
SVV-PPT 1.cif,24,24,0
SWY-PPT 1.cif,15,15,0
SYT-NT.cif,21,20,1
SZR-PPT 1.cif,15,14,1
TER-PPT 1.cif,27,27,0
THO-PPT 1.cif,11,10,1
TOL-PPT 1.cif,25,25,0
TON-PPT 1.cif,11,11,0
TSC-PPT 1.cif,12,11,1
TUN-PPT 1.cif,84,80,1
UEI-PPT 1.cif,14,14,0
UFI-PPT 1.cif,12,12,0
UOS-PPT 1.cif,16,16,0
UOV-NT.cif,95,93,1
UOZ-PPT 1.cif,9,9,0
USI-NT.cif,20,18,1
UTL-NT.cif,39,37,1
UWY-PPT 1.cif,42,36,1
VET-PPT 1.cif,15,15,0
VFI-PPT 1.cif,9,9,0
VNI-PPT 1.cif,23,23,0
VSV-PPT 1.cif,11,11,0
WEI-PPT 1.cif,7,7,0
WEN-PPT 1.cif,12,12,0
YFI-PPT 1.cif,38,36,1
YUG-PPT 1.cif,10,10,0
ZJN-PPT 1.cif,12,12,0
ZON-PPT 1.cif,14,14,0
ZSM-48_B-PPT 1.cif,23,23,0
