filename,ZANumber,nodesNumber,atom_mul,atom_connection
MVY-NT,4,4,{ZA3:2;ZA1:8;ZA2:4;ZA4:2},{ZA4:6;ZA2:3;ZA1:3;ZA3:4}
MWF-PPT 1,15,15,{ZA9:16;ZA15:48;ZA11:6;ZA3:48;ZA6:48;ZA1:12;ZA2:48;ZA4:12;ZA8:12;ZA12:12;ZA10:2;ZA7:24;ZA14:8;ZA13:24;ZA5:24},{ZA7:8;ZA12:10;ZA10:26;ZA8:10;ZA2:12;ZA4:18;ZA5:12;ZA14:14;ZA13:8;ZA15:8;ZA9:14;ZA3:10;ZA6:8;ZA1:10;ZA11:18}
MWW-PPT 1,9,9,{ZA5:12;ZA2:4;ZA4:3;ZA8:12;ZA7:1;ZA3:1;ZA6:3;ZA1:12;ZA9:2},{ZA1:3;ZA6:6;ZA3:8;ZA9:3;ZA5:5;ZA7:32;ZA8:3;ZA4:12;ZA2:3}
NAB-PPT 1,2,2,{ZA2:2;ZA1:4},{ZA2:4;ZA1:6}
NAT-PPT 1,3,3,{ZA1:8;ZA3:16;ZA2:8},{ZA2:4;ZA3:3;ZA1:3}
NES-PPT 1,4,4,{ZA2:8;ZA4:32;ZA3:4;ZA1:16},{ZA1:3;ZA3:36;ZA4:4;ZA2:9}
NON-PPT 1,3,3,{ZA2:4;ZA3:8;ZA1:8},{ZA2:20;ZA3:8;ZA1:9}
NPO-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA2:5;ZA1:5}
NPT-PPT 1,3,3,{ZA3:1;ZA1:3;ZA2:1},{ZA3:26;ZA1:14;ZA2:14}
NSI-PPT 1,2,2,{ZA1:4;ZA2:4},{ZA2:6;ZA1:4}
OBW-PPT 1,3,3,{ZA1:4;ZA3:2;ZA2:4},{ZA2:22;ZA3:14;ZA1:14}
OFF-PPT 1,5,5,{ZA3:1;ZA5:1;ZA1:1;ZA2:1;ZA4:1},{ZA4:11;ZA2:8;ZA1:8;ZA3:14;ZA5:5}
OKO-NT,7,7,{ZA5:2;ZA3:2;ZA1:4;ZA6:4;ZA7:2;ZA2:8;ZA4:8},{ZA7:6;ZA4:4;ZA2:4;ZA6:5;ZA1:9;ZA5:8;ZA3:20}
OSI-PPT 1,4,4,{ZA4:8;ZA2:2;ZA1:8;ZA3:4},{ZA4:3;ZA2:6;ZA1:6;ZA3:6}
OSO-PPT 1,1,1,{ZA1:3},{ZA1:8}
OWE-PPT 1,4,4,{ZA4:2;ZA2:2;ZA1:2;ZA3:2},{ZA1:10;ZA3:4;ZA4:4;ZA2:6}
PAR-NT,3,3,{ZA1:8;ZA3:4;ZA2:4},{ZA3:4;ZA1:3;ZA2:12}
PAU-PPT 1,9,9,{ZA6:12;ZA1:48;ZA3:24;ZA9:2;ZA5:12;ZA4:6;ZA2:16;ZA7:24;ZA8:12},{ZA3:12;ZA6:18;ZA1:8;ZA9:26;ZA5:10;ZA8:10;ZA7:8;ZA2:14;ZA4:10}
PCR-NT,7,7,{ZA2:2;ZA4:2;ZA7:2;ZA3:8;ZA5:2;ZA1:8;ZA6:4},{ZA6:5;ZA1:4;ZA3:4;ZA5:8;ZA4:12;ZA2:18;ZA7:4}
PHI-PPT 1,2,2,{ZA2:4;ZA1:4},{ZA2:12;ZA1:8}
PON-NT,7,7,{ZA7:4;ZA4:4;ZA2:4;ZA1:4;ZA6:4;ZA3:4;ZA5:4},{ZA6:6;ZA1:3;ZA3:3;ZA5:3;ZA4:4;ZA2:3;ZA7:4}
POR-PPT 1,5,5,{ZA5:8;ZA3:16;ZA1:4;ZA2:4;ZA4:2},{ZA2:12;ZA4:6;ZA5:3;ZA3:3;ZA1:16}
POS-PPT 1,8,8,{ZA6:4;ZA1:4;ZA3:4;ZA5:4;ZA4:4;ZA2:4;ZA7:8;ZA8:8},{ZA6:5;ZA1:6;ZA3:10;ZA5:6;ZA7:3;ZA8:3;ZA4:8;ZA2:7}
PSI-PPT 1,19,19,{ZA6:8;ZA7:4;ZA8:8;ZA10:8;ZA12:8;ZA2:8;ZA16:8;ZA5:8;ZA13:8;ZA19:8;ZA15:8;ZA9:8;ZA17:8;ZA3:8;ZA1:8;ZA11:4;ZA4:8;ZA18:8;ZA14:8},{ZA1:4;ZA3:4;ZA11:6;ZA15:5;ZA17:3;ZA9:3;ZA19:3;ZA14:7;ZA4:3;ZA18:3;ZA6:3;ZA5:5;ZA13:5;ZA7:6;ZA12:3;ZA8:3;ZA10:5;ZA16:3;ZA2:4}
PTF-PPT 1,4,4,{ZA4:2;ZA2:2;ZA1:4;ZA3:4},{ZA1:6;ZA3:5;ZA4:28;ZA2:10}
PTT-PPT 1,3,3,{ZA1:1;ZA3:1;ZA2:2},{ZA2:17;ZA1:8;ZA3:14}
PTY-PPT 1,2,2,{ZA1:1;ZA2:1},{ZA2:6;ZA1:16}
PUN-PPT 1,1,1,{ZA1:8},{ZA1:11}
PWN-PPT 1,5,5,{ZA4:6;ZA2:8;ZA1:12;ZA5:2;ZA3:24},{ZA4:18;ZA2:14;ZA1:10;ZA5:26;ZA3:8}
PWO-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA1:6;ZA2:16}
PWW-PPT 1,2,2,{ZA2:4;ZA1:4},{ZA1:6;ZA2:16}
RFE-PPT 1,7,7,{ZA2:4;ZA4:4;ZA7:4;ZA3:8;ZA5:4;ZA6:4;ZA1:8},{ZA7:3;ZA4:7;ZA2:8;ZA1:5;ZA6:3;ZA3:3;ZA5:5}
RHO-PPT 1,2,2,{ZA1:6;ZA2:2},{ZA1:10;ZA2:26}
RRO-PPT 1,3,3,{ZA2:4;ZA3:4;ZA1:2},{ZA1:6;ZA3:4;ZA2:7}
RSN-PPT 1,8,8,{ZA7:2;ZA8:4;ZA2:4;ZA4:2;ZA5:4;ZA3:2;ZA6:4;ZA1:4},{ZA2:6;ZA4:6;ZA8:4;ZA7:4;ZA5:3;ZA3:4;ZA6:5;ZA1:6}
RTE-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA2:18;ZA1:10}
RTH-PPT 1,2,2,{ZA2:2;ZA1:4},{ZA1:8;ZA2:22}
RUT-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA2:18;ZA1:6}
RWR-PPT 1,3,3,{ZA1:8;ZA3:8;ZA2:4},{ZA1:8;ZA3:3;ZA2:4}
RWY-PPT 1,2,2,{ZA2:2;ZA1:12},{ZA2:38;ZA1:4}
SAF-PPT 1,9,9,{ZA8:4;ZA7:8;ZA2:4;ZA4:8;ZA5:8;ZA9:8;ZA3:8;ZA1:8;ZA6:8},{ZA1:4;ZA6:5;ZA3:3;ZA9:3;ZA5:3;ZA7:3;ZA8:8;ZA4:5;ZA2:4}
SAO-PPT 1,6,6,{ZA6:2;ZA1:2;ZA3:8;ZA5:2;ZA4:8;ZA2:4},{ZA1:6;ZA6:10;ZA3:6;ZA5:10;ZA4:4;ZA2:8}
SAS-PPT 1,2,2,{ZA1:4;ZA2:2},{ZA1:8;ZA2:22}
SAT-PPT 1,3,3,{ZA2:3;ZA3:3;ZA1:6},{ZA3:8;ZA1:11;ZA2:26}
SAV-PPT 1,3,3,{ZA3:2;ZA1:2;ZA2:4},{ZA2:8;ZA1:22;ZA3:18}
SBE-PPT 1,7,7,{ZA2:2;ZA4:16;ZA7:16;ZA5:2;ZA3:4;ZA6:4;ZA1:8},{ZA4:4;ZA2:26;ZA7:3;ZA6:10;ZA1:10;ZA3:14;ZA5:10}
SBN-PPT 1,2,2,{ZA2:2;ZA1:2},{ZA1:11;ZA2:3}
SBS-PPT 1,7,7,{ZA4:4;ZA2:2;ZA7:12;ZA6:2;ZA1:4;ZA5:2;ZA3:12},{ZA1:14;ZA6:8;ZA3:4;ZA5:14;ZA7:3;ZA4:11;ZA2:20}
SBT-PPT 1,6,6,{ZA2:6;ZA4:6;ZA3:6;ZA5:18;ZA1:3;ZA6:18},{ZA2:17;ZA4:14;ZA5:4;ZA3:11;ZA6:3;ZA1:8}
SEW-PPT 1,7,7,{ZA7:8;ZA4:2;ZA2:4;ZA6:4;ZA1:4;ZA3:2;ZA5:2},{ZA7:3;ZA2:6;ZA4:7;ZA3:9;ZA5:8;ZA1:15;ZA6:7}
SFE-PPT 1,4,4,{ZA2:2;ZA4:2;ZA3:2;ZA1:2},{ZA1:10;ZA3:4;ZA4:4;ZA2:4}
SFF-PPT 1,3,3,{ZA2:4;ZA3:4;ZA1:2},{ZA2:7;ZA1:20;ZA3:4}
SFG-PPT 1,12,12,{ZA4:2;ZA2:4;ZA7:2;ZA8:2;ZA10:8;ZA12:8;ZA5:2;ZA9:4;ZA11:4;ZA6:4;ZA1:4;ZA3:2},{ZA5:8;ZA7:5;ZA12:3;ZA10:3;ZA8:6;ZA4:14;ZA2:8;ZA1:5;ZA6:5;ZA3:7;ZA11:3;ZA9:7}
SFH-PPT 1,7,7,{ZA4:8;ZA2:4;ZA7:4;ZA6:4;ZA1:4;ZA3:8;ZA5:4},{ZA2:14;ZA4:4;ZA7:3;ZA5:4;ZA3:4;ZA1:8;ZA6:5}
SFN-PPT 1,6,6,{ZA4:4;ZA2:2;ZA6:4;ZA1:2;ZA5:2;ZA3:4},{ZA4:4;ZA2:14;ZA6:4;ZA1:8;ZA5:4;ZA3:4}
SFO-PPT 1,3,3,{ZA2:2;ZA1:4;ZA3:2},{ZA3:8;ZA1:6;ZA2:20}
SFS-PPT 1,11,11,{ZA8:4;ZA10:2;ZA7:4;ZA2:2;ZA4:2;ZA5:2;ZA9:2;ZA3:2;ZA6:4;ZA1:4;ZA11:2},{ZA9:3;ZA11:3;ZA3:5;ZA6:8;ZA1:8;ZA2:7;ZA4:10;ZA10:5;ZA7:4;ZA8:4;ZA5:5}
SFW-PPT 1,4,4,{ZA2:3;ZA4:3;ZA3:6;ZA1:6},{ZA4:8;ZA2:32;ZA1:14;ZA3:8}
SGT-PPT 1,2,2,{ZA2:4;ZA1:8},{ZA2:20;ZA1:9}
SIV-PPT 1,3,3,{ZA1:4;ZA3:4;ZA2:8},{ZA3:12;ZA1:8;ZA2:10}
SOD-PPT 1,1,1,{ZA1:2},{ZA1:14}
SOF-PPT 1,3,3,{ZA2:4;ZA3:4;ZA1:8},{ZA2:6;ZA1:5;ZA3:12}
SOR-PPT 1,7,7,{ZA2:2;ZA4:4;ZA7:2;ZA3:8;ZA5:2;ZA1:4;ZA6:2},{ZA6:4;ZA1:6;ZA3:5;ZA5:6;ZA4:8;ZA2:10;ZA7:4}
SOS-PPT 1,4,4,{ZA3:4;ZA1:2;ZA2:2;ZA4:4},{ZA2:14;ZA4:3;ZA3:4;ZA1:4}
SOV-PPT 1,15,15,{ZA3:4;ZA1:4;ZA6:4;ZA11:4;ZA15:8;ZA9:4;ZA5:4;ZA14:8;ZA13:4;ZA10:2;ZA8:4;ZA12:4;ZA7:4;ZA2:2;ZA4:8},{ZA5:6;ZA13:4;ZA14:4;ZA10:8;ZA8:8;ZA12:4;ZA7:8;ZA4:7;ZA2:8;ZA6:8;ZA1:6;ZA3:6;ZA11:5;ZA15:3;ZA9:7}
SSF-PPT 1,8,8,{ZA4:1;ZA2:2;ZA8:2;ZA7:12;ZA5:2;ZA1:3;ZA6:3;ZA3:6},{ZA2:8;ZA4:8;ZA8:8;ZA7:3;ZA5:14;ZA3:5;ZA6:4;ZA1:8}
SSO-NT,10,10,{ZA4:4;ZA2:4;ZA8:4;ZA10:4;ZA7:4;ZA5:4;ZA9:4;ZA6:4;ZA1:4;ZA3:4},{ZA5:16;ZA7:4;ZA10:4;ZA8:4;ZA4:4;ZA2:4;ZA6:3;ZA1:8;ZA3:4;ZA9:4}
SSY-PPT 1,5,5,{ZA1:2;ZA5:2;ZA3:4;ZA4:4;ZA2:4},{ZA2:4;ZA4:4;ZA5:4;ZA3:4;ZA1:16}
SSZ-31_E-PPT 1,11,11,{ZA1:4;ZA6:4;ZA3:4;ZA11:4;ZA9:4;ZA5:2;ZA7:2;ZA8:4;ZA10:4;ZA4:2;ZA2:4},{ZA5:8;ZA7:8;ZA8:3;ZA10:5;ZA2:8;ZA4:8;ZA3:5;ZA1:5;ZA6:3;ZA11:3;ZA9:3}
SSZ-31_F-PPT 1,10,10,{ZA5:8;ZA4:4;ZA2:8;ZA7:8;ZA10:8;ZA8:8;ZA1:8;ZA6:8;ZA3:8;ZA9:8},{ZA9:3;ZA6:5;ZA1:8;ZA3:5;ZA4:8;ZA2:5;ZA8:8;ZA10:3;ZA7:3;ZA5:3}
SSZ-31_G-PPT 1,10,10,{ZA9:2;ZA3:4;ZA6:4;ZA1:4;ZA7:2;ZA10:4;ZA8:4;ZA2:2;ZA4:4;ZA5:2},{ZA9:8;ZA3:5;ZA1:5;ZA6:3;ZA2:6;ZA4:8;ZA10:3;ZA7:8;ZA8:3;ZA5:12}
SSZ-31_H-PPT 1,9,9,{ZA9:8;ZA3:8;ZA6:8;ZA1:8;ZA2:4;ZA4:8;ZA7:8;ZA8:8;ZA5:4},{ZA5:12;ZA4:5;ZA2:6;ZA8:8;ZA7:3;ZA6:3;ZA1:5;ZA3:8;ZA9:3}
SSZ-57_idealized-PPT 1,113,113,{ZA20:4;ZA76:4;ZA36:4;ZA104:2;ZA59:4;ZA71:8;ZA96:2;ZA68:4;ZA8:4;ZA31:4;ZA16:4;ZA80:4;ZA11:4;ZA99:2;ZA91:4;ZA108:2;ZA39:2;ZA84:4;ZA95:2;ZA113:2;ZA61:4;ZA6:4;ZA29:4;ZA75:8;ZA37:2;ZA66:4;ZA64:8;ZA49:4;ZA42:2;ZA77:4;ZA33:4;ZA62:4;ZA30:4;ZA54:8;ZA57:4;ZA93:2;ZA3:8;ZA102:2;ZA106:2;ZA15:4;ZA60:4;ZA97:2;ZA51:4;ZA41:2;ZA73:8;ZA101:2;ZA18:4;ZA24:4;ZA100:2;ZA5:4;ZA87:4;ZA109:2;ZA13:4;ZA65:4;ZA32:4;ZA53:4;ZA74:8;ZA86:4;ZA55:4;ZA83:4;ZA67:4;ZA25:4;ZA1:4;ZA23:4;ZA21:4;ZA17:4;ZA9:4;ZA27:4;ZA72:8;ZA44:2;ZA26:4;ZA88:4;ZA105:2;ZA38:2;ZA40:2;ZA69:8;ZA52:8;ZA92:2;ZA28:8;ZA110:2;ZA98:2;ZA35:4;ZA89:4;ZA94:2;ZA90:4;ZA47:4;ZA12:4;ZA81:4;ZA10:4;ZA7:4;ZA111:1;ZA2:4;ZA43:2;ZA22:4;ZA34:4;ZA46:1;ZA107:2;ZA82:4;ZA63:4;ZA56:8;ZA19:4;ZA50:8;ZA103:2;ZA45:2;ZA14:4;ZA48:8;ZA70:8;ZA78:4;ZA79:4;ZA112:2;ZA58:4;ZA85:4;ZA4:4},{ZA80:3;ZA11:5;ZA91:3;ZA99:4;ZA108:6;ZA39:8;ZA84:3;ZA95:4;ZA113:6;ZA61:7;ZA20:5;ZA36:5;ZA76:4;ZA104:4;ZA59:7;ZA71:4;ZA68:7;ZA96:4;ZA8:5;ZA31:5;ZA16:5;ZA102:4;ZA3:8;ZA106:4;ZA15:5;ZA60:7;ZA97:4;ZA41:10;ZA51:7;ZA73:4;ZA101:4;ZA18:5;ZA6:5;ZA29:5;ZA66:8;ZA37:10;ZA75:4;ZA42:10;ZA77:3;ZA49:7;ZA64:8;ZA33:5;ZA30:5;ZA62:7;ZA57:7;ZA54:8;ZA93:4;ZA25:5;ZA1:5;ZA67:7;ZA21:5;ZA9:5;ZA17:5;ZA23:5;ZA72:4;ZA27:7;ZA26:5;ZA88:3;ZA44:8;ZA40:10;ZA38:10;ZA105:4;ZA52:8;ZA69:4;ZA24:5;ZA100:4;ZA87:3;ZA5:5;ZA13:5;ZA109:6;ZA65:7;ZA32:5;ZA53:7;ZA74:4;ZA86:3;ZA83:3;ZA55:7;ZA82:3;ZA46:10;ZA107:6;ZA34:5;ZA63:7;ZA56:8;ZA50:8;ZA19:5;ZA103:4;ZA45:10;ZA14:5;ZA78:3;ZA70:4;ZA79:3;ZA48:8;ZA4:5;ZA85:3;ZA112:6;ZA58:7;ZA92:4;ZA28:8;ZA89:3;ZA98:4;ZA110:6;ZA35:5;ZA94:4;ZA90:3;ZA47:7;ZA81:3;ZA12:5;ZA7:5;ZA10:5;ZA22:5;ZA111:6;ZA43:10;ZA2:7}
SSZ-70_A-PPT 1,13,13,{ZA9:4;ZA11:12;ZA1:12;ZA6:4;ZA3:4;ZA4:12;ZA2:12;ZA8:6;ZA12:2;ZA10:12;ZA7:2;ZA13:2;ZA5:12},{ZA5:3;ZA13:3;ZA10:3;ZA12:3;ZA8:12;ZA7:8;ZA4:3;ZA2:5;ZA1:5;ZA6:3;ZA3:3;ZA11:3;ZA9:22}
SSZ-70_B-PPT 1,12,12,{ZA2:18;ZA4:18;ZA8:9;ZA12:6;ZA10:18;ZA7:3;ZA5:18;ZA9:6;ZA11:18;ZA3:6;ZA1:18;ZA6:6},{ZA5:3;ZA12:3;ZA7:8;ZA10:3;ZA8:12;ZA4:3;ZA2:5;ZA1:5;ZA6:3;ZA3:3;ZA11:3;ZA9:22}
STF-PPT 1,3,3,{ZA2:4;ZA1:2;ZA3:4},{ZA1:20;ZA3:4;ZA2:7}
STI-PPT 1,3,3,{ZA2:8;ZA3:8;ZA1:4},{ZA2:12;ZA1:10;ZA3:6}
STT-PPT 1,3,3,{ZA2:4;ZA1:4;ZA3:4},{ZA2:7;ZA3:4;ZA1:19}
STW-PPT 1,2,2,{ZA1:6;ZA2:6},{ZA1:6;ZA2:18}
SVR-PPT 1,8,8,{ZA6:4;ZA1:4;ZA3:4;ZA5:4;ZA4:4;ZA2:4;ZA7:4;ZA8:4},{ZA5:4;ZA7:6;ZA8:7;ZA2:5;ZA4:6;ZA3:4;ZA1:5;ZA6:15}
SVV-PPT 1,4,4,{ZA3:2;ZA1:2;ZA2:2;ZA4:2},{ZA3:18;ZA1:18;ZA2:6;ZA4:6}
SWY-PPT 1,5,5,{ZA3:2;ZA5:2;ZA1:4;ZA2:2;ZA4:2},{ZA4:8;ZA2:32;ZA1:11;ZA5:8;ZA3:14}
SYT-NT,4,4,{ZA4:4;ZA2:4;ZA1:16;ZA3:4},{ZA3:18;ZA1:6;ZA2:10;ZA4:22}
SZR-PPT 1,5,5,{ZA2:2;ZA4:2;ZA5:2;ZA3:8;ZA1:2},{ZA5:4;ZA3:5;ZA1:8;ZA2:8;ZA4:12}
TER-PPT 1,8,8,{ZA1:4;ZA6:8;ZA3:4;ZA4:8;ZA2:8;ZA8:8;ZA7:4;ZA5:16},{ZA5:4;ZA8:5;ZA7:6;ZA4:6;ZA2:6;ZA6:3;ZA1:4;ZA3:4}
THO-PPT 1,5,5,{ZA1:2;ZA5:2;ZA3:2;ZA4:2;ZA2:2},{ZA4:4;ZA2:4;ZA1:3;ZA3:3;ZA5:6}
TOL-PPT 1,6,6,{ZA4:2;ZA2:2;ZA1:2;ZA6:2;ZA5:2;ZA3:2},{ZA2:23;ZA4:17;ZA3:11;ZA5:11;ZA1:11;ZA6:11}
TON-PPT 1,3,3,{ZA1:8;ZA3:4;ZA2:4},{ZA2:8;ZA3:4;ZA1:4}
TSC-PPT 1,5,5,{ZA2:4;ZA4:8;ZA3:24;ZA5:4;ZA1:32},{ZA2:50;ZA4:14;ZA3:10;ZA5:26;ZA1:8}
TUN-PPT 1,17,17,{ZA6:8;ZA5:4;ZA13:4;ZA8:8;ZA7:4;ZA10:8;ZA12:2;ZA2:2;ZA16:4;ZA3:4;ZA1:2;ZA11:8;ZA17:4;ZA15:4;ZA9:8;ZA14:8;ZA4:2},{ZA6:7;ZA10:4;ZA8:4;ZA7:16;ZA12:10;ZA16:6;ZA2:32;ZA5:5;ZA13:10;ZA17:3;ZA15:3;ZA9:6;ZA1:6;ZA3:5;ZA11:4;ZA4:16;ZA14:4}
UEI-PPT 1,2,2,{ZA1:4;ZA2:4},{ZA1:6;ZA2:14}
UFI-PPT 1,3,3,{ZA3:2;ZA1:4;ZA2:2},{ZA2:26;ZA3:6;ZA1:4}
UOS-PPT 1,5,5,{ZA3:4;ZA5:2;ZA1:2;ZA2:2;ZA4:2},{ZA4:8;ZA2:8;ZA1:6;ZA5:4;ZA3:5}
UOV-NT,26,26,{ZA14:4;ZA26:4;ZA4:4;ZA18:2;ZA11:2;ZA3:2;ZA25:4;ZA1:2;ZA23:8;ZA19:4;ZA15:2;ZA9:2;ZA21:4;ZA17:4;ZA13:4;ZA5:4;ZA2:2;ZA16:2;ZA22:4;ZA12:2;ZA10:4;ZA8:2;ZA7:4;ZA24:8;ZA20:4;ZA6:4},{ZA23:3;ZA19:6;ZA9:14;ZA17:6;ZA15:5;ZA21:4;ZA11:8;ZA3:24;ZA25:3;ZA1:6;ZA4:8;ZA18:6;ZA14:6;ZA26:3;ZA24:3;ZA20:4;ZA6:8;ZA2:14;ZA22:4;ZA16:6;ZA12:7;ZA10:5;ZA8:8;ZA7:5;ZA13:4;ZA5:7}
UOZ-PPT 1,3,3,{ZA2:2;ZA3:2;ZA1:4},{ZA2:26;ZA1:6;ZA3:6}
USI-NT,6,6,{ZA3:4;ZA5:4;ZA1:2;ZA6:4;ZA2:2;ZA4:2},{ZA5:3;ZA3:4;ZA6:3;ZA1:14;ZA2:16;ZA4:8}
UTL-NT,8,8,{ZA1:2;ZA6:2;ZA3:2;ZA7:8;ZA8:4;ZA4:2;ZA2:4;ZA5:8},{ZA1:6;ZA6:8;ZA3:22;ZA4:8;ZA2:9;ZA7:4;ZA8:5;ZA5:4}
UWY-PPT 1,16,16,{ZA8:4;ZA7:2;ZA10:2;ZA12:1;ZA16:1;ZA2:1;ZA5:1;ZA13:4;ZA6:2;ZA4:1;ZA14:2;ZA15:8;ZA9:4;ZA1:2;ZA3:1;ZA11:1},{ZA6:6;ZA16:6;ZA2:6;ZA7:8;ZA8:6;ZA10:7;ZA12:6;ZA13:3;ZA5:6;ZA15:3;ZA9:5;ZA11:8;ZA1:5;ZA3:12;ZA4:10;ZA14:4}
VET-PPT 1,3,3,{ZA3:2;ZA1:4;ZA2:1},{ZA3:8;ZA1:4;ZA2:16}
VFI-PPT 1,5,5,{ZA1:12;ZA5:6;ZA3:2;ZA4:4;ZA2:12},{ZA4:5;ZA2:3;ZA1:4;ZA5:3;ZA3:11}
VNI-PPT 1,6,6,{ZA5:4;ZA3:8;ZA1:8;ZA6:4;ZA2:8;ZA4:4},{ZA5:5;ZA3:3;ZA6:8;ZA1:6;ZA2:4;ZA4:11}
VSV-PPT 1,4,4,{ZA1:8;ZA3:8;ZA4:4;ZA2:8},{ZA3:5;ZA1:6;ZA2:3;ZA4:4}
WEI-PPT 1,1,1,{ZA1:4},{ZA1:12}
WEN-PPT 1,5,5,{ZA2:3;ZA4:3;ZA3:1;ZA5:2;ZA1:1},{ZA4:3;ZA2:8;ZA1:8;ZA5:3;ZA3:11}
YFI-PPT 1,12,12,{ZA9:4;ZA11:8;ZA1:4;ZA6:8;ZA3:4;ZA4:2;ZA2:4;ZA12:4;ZA7:4;ZA10:4;ZA8:8;ZA5:2},{ZA5:10;ZA12:4;ZA10:4;ZA7:8;ZA8:4;ZA4:8;ZA2:10;ZA1:5;ZA6:5;ZA3:8;ZA11:3;ZA9:16}
YUG-PPT 1,2,2,{ZA2:4;ZA1:2},{ZA2:5;ZA1:12}
ZJN-PPT 1,4,4,{ZA3:2;ZA1:4;ZA2:2;ZA4:2},{ZA4:20;ZA2:17;ZA1:11;ZA3:11}
ZON-PPT 1,2,2,{ZA2:4;ZA1:4},{ZA1:6;ZA2:14}
ZSM-48_B-PPT 1,9,9,{ZA9:4;ZA6:4;ZA1:4;ZA3:4;ZA7:4;ZA8:4;ZA4:2;ZA2:2;ZA5:2},{ZA7:3;ZA8:3;ZA4:8;ZA2:6;ZA5:12;ZA9:3;ZA1:5;ZA6:7;ZA3:5}
